^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,en_DEBUG,pt_BR
mobilidade,,-1.0,-1.0,-1.0,ACTIVE,,-1,National,Nacional,Nacional
mobilidade,,-1.0,-1.0,-1.0,ACTIVE,,-1,International,Internacional,Internacional
