label_key,default,en_DEBUG,en_US,es_ES,pt_BR
IntroCustom180_360,en_US,TESTE,TESTE,TESTE,TESTE
SecCustom180_360,en_US,TESTE,TESTE,TESTE,TESTE
Subordinados,en_US,Direct,Direct,Directo,Subordinados
