COMPETENCY_GUID,ENTRY_ID,ENTRY_TYPE
441,9031,1
441,9032,1
441,9033,1
441,9034,1
441,9035,1
441,9036,1
441,9037,1
441,9038,1
441,9039,1
441,9040,1
441,9041,1
441,9042,1
441,9043,1
441,9044,1
441,9045,1
441,9046,1
441,9047,1
441,9048,1
441,9049,1
441,9050,1
441,9051,1
441,9052,1
441,9053,1
441,9054,1
441,9055,1
445,9156,1
445,9157,1
445,9158,1
445,9159,1
445,9160,1
445,9161,1
445,9162,1
445,9163,1
445,9164,1
445,9165,1
445,9166,1
445,9167,1
448,9056,1
448,9057,1
448,9058,1
448,9059,1
448,9060,1
448,9061,1
448,9062,1
448,9063,1
448,9064,1
448,9065,1
448,9066,1
448,9067,1
448,9068,1
448,9069,1
448,9070,1
448,9071,1
448,9072,1
448,9073,1
448,9074,1
448,9075,1
448,9076,1
448,9077,1
448,9078,1
448,9079,1
448,9080,1
448,9081,1
448,9082,1
448,9083,1
448,9084,1
448,9085,1
448,9086,1
448,9087,1
448,9088,1
448,9089,1
448,9090,1
448,9091,1
448,9092,1
448,9093,1
448,9094,1
448,9095,1
448,9096,1
448,9097,1
448,9098,1
448,9099,1
448,9100,1
448,9101,1
448,9102,1
448,9103,1
448,9104,1
448,9105,1
448,9106,1
448,9107,1
448,9108,1
448,9109,1
448,9110,1
448,9111,1
448,9112,1
448,9113,1
448,9114,1
448,9115,1
448,9116,1
448,9117,1
448,9118,1
448,9119,1
448,9120,1
448,9121,1
448,9122,1
448,9123,1
448,9124,1
448,9125,1
448,9126,1
448,9127,1
448,9128,1
448,9129,1
448,9130,1
448,9131,1
448,9132,1
448,9133,1
448,9134,1
448,9135,1
448,9136,1
448,9137,1
448,9138,1
448,9139,1
448,9140,1
448,9141,1
448,9142,1
448,9143,1
448,9144,1
448,9145,1
448,9146,1
448,9147,1
448,9148,1
448,9149,1
448,9150,1
448,9151,1
448,9152,1
448,9153,1
448,9154,1
448,9155,1
451,9215,1
451,9216,1
451,9217,1
451,9218,1
451,9219,1
451,9220,1
451,9221,1
451,9222,1
451,9223,1
451,9224,1
451,9225,1
451,9226,1
451,9227,1
451,9228,1
451,9229,1
451,9230,1
451,9231,1
451,9232,1
451,9233,1
451,9234,1
451,9235,1
451,9236,1
451,9237,1
451,9238,1
451,9239,1
451,9240,1
451,9241,1
451,9242,1
451,9243,1
451,9244,1
451,9245,1
451,9246,1
451,9247,1
451,9248,1
451,9249,1
451,9250,1
451,9251,1
451,9252,1
451,9253,1
451,9254,1
451,9255,1
451,9256,1
451,9257,1
451,9258,1
451,9259,1
451,9260,1
454,9168,1
454,9169,1
454,9170,1
454,9171,1
454,9172,1
454,9173,1
454,9174,1
454,9175,1
454,9176,1
454,9177,1
454,9178,1
454,9179,1
454,9180,1
454,9181,1
454,9182,1
454,9183,1
454,9184,1
454,9185,1
454,9186,1
454,9187,1
454,9188,1
454,9189,1
454,9190,1
454,9191,1
454,9192,1
454,9193,1
454,9194,1
454,9195,1
454,9196,1
454,9197,1
454,9198,1
454,9199,1
454,9200,1
454,9201,1
454,9202,1
454,9203,1
454,9204,1
454,9205,1
454,9206,1
454,9207,1
454,9208,1
454,9209,1
454,9210,1
454,9211,1
454,9212,1
454,9213,1
454,9214,1
457,9002,1
457,9003,1
457,9004,1
457,9005,1
457,9006,1
457,9007,1
457,9008,1
457,9009,1
457,9010,1
457,9011,1
457,9012,1
457,9013,1
457,9014,1
457,9015,1
457,9016,1
457,9017,1
457,9018,1
457,9019,1
457,9020,1
457,9021,1
457,9022,1
457,9023,1
457,9024,1
457,9025,1
457,9026,1
457,9027,1
457,9028,1
457,9029,1
457,9030,1
460,9261,1
460,9262,1
460,9263,1
460,9264,1
460,9265,1
460,9266,1
460,9267,1
460,9268,1
460,9269,1
460,9270,1
460,9271,1
460,9272,1
460,9273,1
460,9274,1
460,9275,1
460,9276,1
460,9277,1
460,9278,1
460,9279,1
460,9280,1
460,9281,1
460,9282,1
460,9283,1
460,9284,1
460,9285,1
460,9286,1
484,9287,1
